productname,date,farmprice,retailpricepettah,retailpricedambulla,averagespread
Beans,1/1/2000,50.64,64.7,65.25,14.34
Carrot,1/1/2000,62.64,82.46,84.85,21.01
Cabbage,1/1/2000,46.88,62.56,65.61,17.2
Tomato,1/1/2000,48.52,66.73,63.78,16.74
Brinjal,1/1/2000,40.85,54.25,55.08,13.81
Pumpkin,1/1/2000,32.76,42.45,45.75,11.34
Snake Gourd,1/1/2000,36.64,48.02,50.61,12.68
Green Chilli,1/1/2000,65.82,88.91,83.68,20.48
Lime,1/1/2000,83,107.15,111.53,26.34
Beans,2/1/2000,47.56,62.8,64.52,16.1
Carrot,2/1/2000,61.56,74.14,85.7,18.36
Cabbage,2/1/2000,44.86,60.16,61.91,16.17
Tomato,2/1/2000,59.92,79.06,84.93,22.08
Brinjal,2/1/2000,44.85,61.58,64.22,18.05
Pumpkin,2/1/2000,31.78,43.62,43.73,11.89
Snake Gourd,2/1/2000,34.68,45.91,49.21,12.88
Green Chilli,2/1/2000,78.2,95.14,101,19.87
Lime,2/1/2000,81.05,106.63,101.65,23.09
Beans,3/1/2000,55.79,72.08,73.53,17.02
Carrot,3/1/2000,57.65,76.73,81.32,21.38
Cabbage,3/1/2000,44.64,62.26,62.4,17.69
Tomato,3/1/2000,59.45,78.65,84.68,22.22
Brinjal,3/1/2000,42.39,52.7,54.45,11.19
Pumpkin,3/1/2000,29.8,41.13,40.06,10.8
Snake Gourd,3/1/2000,33.92,41.43,46.73,10.16
Green Chilli,3/1/2000,75.87,106.19,108.23,31.34
Lime,3/1/2000,74.42,92.6,98.47,21.11
Beans,4/1/2000,55.54,72.53,71.72,16.58
Carrot,4/1/2000,62.25,77.99,80.65,17.07
Cabbage,4/1/2000,48.15,67.1,62.52,16.66
Tomato,4/1/2000,59.62,72.16,76.93,14.93
Brinjal,4/1/2000,42.66,52.84,59.28,13.4
Pumpkin,4/1/2000,31.35,42.75,45.44,12.74
Snake Gourd,4/1/2000,37.11,46.12,50.45,11.18
Green Chilli,4/1/2000,81.86,113.24,107.56,28.54
Lime,4/1/2000,92.54,124.27,127.37,33.28
Beans,5/1/2000,46.64,59.6,64.71,15.51
Carrot,5/1/2000,63.36,80.57,90.97,22.41
Cabbage,5/1/2000,41.17,57.58,56.65,15.94
Tomato,5/1/2000,59.44,79.4,75.18,17.85
Brinjal,5/1/2000,39.71,51.16,54.74,13.24
Pumpkin,5/1/2000,32.36,41.2,46.75,11.62
Snake Gourd,5/1/2000,33.5,46.59,48.34,13.97
Green Chilli,5/1/2000,70.1,90.66,93.08,21.77
Lime,5/1/2000,86.74,108.95,122.89,29.18
Beans,6/1/2000,53.84,69.66,74.2,18.09
Carrot,6/1/2000,64.55,82.19,84.03,18.56
Cabbage,6/1/2000,47.34,62.17,61.84,14.66
Tomato,6/1/2000,50.55,66.46,64.58,14.97
Brinjal,6/1/2000,42.03,57.52,58.38,15.92
Pumpkin,6/1/2000,32.51,39.93,44.63,9.77
Snake Gourd,6/1/2000,37.24,51.08,49.6,13.1
Green Chilli,6/1/2000,69.96,85.86,89.13,17.54
Lime,6/1/2000,85.14,115.39,111.56,28.34
Beans,7/1/2000,42.95,53.38,53.71,10.6
Carrot,7/1/2000,60.56,74.89,79.45,16.61
Cabbage,7/1/2000,43.98,59.01,56.94,14
Tomato,7/1/2000,58.2,73,74.12,15.36
Brinjal,7/1/2000,42.13,57.53,56.83,15.05
Pumpkin,7/1/2000,30.37,36.94,38.54,7.37
Snake Gourd,7/1/2000,36.32,48.47,50.93,13.38
Green Chilli,7/1/2000,66.31,89.86,88.81,23.02
Lime,7/1/2000,77.39,103.84,102.65,25.86
Beans,8/1/2000,46.73,65.21,59.48,15.61
Carrot,8/1/2000,58.15,79.8,83.14,23.32
Cabbage,8/1/2000,42.01,54.17,54.42,12.29
Tomato,8/1/2000,57.54,73.71,81.41,20.02
Brinjal,8/1/2000,37.73,51.22,53.71,14.74
Pumpkin,8/1/2000,29.56,35.52,39.39,7.9
Snake Gourd,8/1/2000,33.16,40.86,44.91,9.73
Green Chilli,8/1/2000,68.88,85.97,88.42,18.32
Lime,8/1/2000,74.65,90.25,105.41,23.18
Beans,9/1/2000,47.85,64.9,63.68,16.44
Carrot,9/1/2000,54.44,72.03,71.01,17.08
Cabbage,9/1/2000,42.92,52.75,61.32,14.11
Tomato,9/1/2000,55.85,77.55,72.6,19.22
Brinjal,9/1/2000,36.68,44.44,49.05,10.06
Pumpkin,9/1/2000,25.81,33.33,34.98,8.34
Snake Gourd,9/1/2000,32.27,45.02,44.32,12.4
Green Chilli,9/1/2000,64.99,84.6,86.71,20.66
Lime,9/1/2000,77.46,94.3,98.67,19.03
Beans,10/1/2000,44.2,54.79,60.06,13.22
Carrot,10/1/2000,58.66,72.07,76.63,15.69
Cabbage,10/1/2000,43.61,56.7,61.38,15.43
Tomato,10/1/2000,46.53,64.45,67.45,19.42
Brinjal,10/1/2000,40.56,56.57,51.87,13.66
