location_id,year,month,temp_mean,temp_max,temp_min,rain_sum,rain_days,sunshine_mean_hours,radiation_mean,et0_mean,wind_speed_max,date
0,2010,1,26.416129032258063,33.2,21.3,91.2,10,10.417396505376345,19.580645161290324,4.27258064516129,18.7,2010-01-01
0,2010,2,27.425,33.7,22.8,69.8,10,9.877672916666668,19.768571428571427,4.351428571428571,15.8,2010-02-01
0,2010,3,28.351612903225806,34.9,22.5,61.0,12,10.710635573476704,21.924516129032256,4.835483870967742,16.3,2010-03-01
0,2010,4,27.48,31.7,24.5,260.8,29,9.20658833333333,18.531000000000002,3.8190000000000004,14.3,2010-04-01
0,2010,5,27.225806451612904,31.6,25.1,321.9,31,8.077989695340502,14.929354838709678,3.043548387096774,23.0,2010-05-01
0,2010,6,26.740000000000002,30.2,24.4,388.4,30,8.71822074074074,15.738,3.1616666666666666,26.7,2010-06-01
0,2010,7,26.38064516129032,30.2,23.7,246.9,31,9.090638172043011,16.47967741935484,3.2364516129032257,22.0,2010-07-01
0,2010,8,26.19677419354839,29.0,23.1,201.5,29,8.44435734767025,16.143870967741936,3.1616129032258065,27.0,2010-08-01
0,2010,9,25.993333333333332,29.2,22.6,265.0,29,7.724023055555554,15.764666666666667,3.0923333333333334,21.6,2010-09-01
0,2010,10,26.24516129032258,29.7,23.6,281.7,25,9.383630286738352,16.553870967741933,3.3161290322580643,23.2,2010-10-01
0,2010,11,25.63,30.0,23.1,495.5,29,7.7807759259259255,14.718,2.958666666666667,24.8,2010-11-01
0,2010,12,24.94516129032258,29.5,20.2,406.2,23,6.161185304659498,12.51741935483871,2.613225806451613,23.1,2010-12-01
0,2011,1,24.816129032258065,29.9,19.7,162.6,20,7.301877508960573,14.226129032258065,3.0038709677419355,25.8,2011-01-01
0,2011,2,25.539285714285715,31.2,21.7,115.5,14,8.245475992063492,16.896071428571428,3.5089285714285716,31.3,2011-02-01
0,2011,3,26.761290322580646,33.3,22.0,117.7,21,10.487484229390683,21.232580645161292,4.386129032258064,17.9,2011-03-01
0,2011,4,26.64,31.1,23.3,274.1,29,9.425715925925926,18.617666666666665,3.783333333333333,18.6,2011-04-01
0,2011,5,26.861290322580647,30.4,24.1,213.20000000000002,29,9.946252956989248,17.725161290322582,3.516774193548387,21.3,2011-05-01
0,2011,6,26.883333333333333,29.7,24.4,171.2,30,10.254018055555557,17.703333333333333,3.4963333333333333,22.0,2011-06-01
0,2011,7,26.309677419354838,29.3,23.7,257.7,31,9.455773207885304,16.615161290322582,3.22741935483871,21.0,2011-07-01
0,2011,8,26.251612903225805,29.1,23.9,266.4,31,9.321184139784945,17.144516129032258,3.3448387096774193,19.8,2011-08-01
0,2011,9,26.383333333333333,29.6,23.9,283.2,26,9.621532777777778,17.877333333333336,3.5386666666666664,22.6,2011-09-01
0,2011,10,26.248387096774195,30.3,23.2,283.6,26,9.081245430107527,17.338709677419356,3.5067741935483867,18.8,2011-10-01
