planting_month_num,planting_month_name,district,crop_name,rank,recommendation_score,verdict,harvest_month_name,gestation_months,predicted_farm_price_lkr,production_cost_per_kg_lkr,net_margin_per_kg_lkr,profit_margin_pct,climate_suitability_score
1,January,Badulla,Pumpkin,1,95.0,Highly Recommended,May,4,145.22,70.0,75.22,107.5,100.0
1,January,Badulla,Snake Gourd,2,78.9,Highly Recommended,April,3,147.35,95.0,52.35,55.1,100.0
1,January,Badulla,Cabbage,3,70.3,Recommended,April,3,166.86,110.0,56.86,51.7,94.0
1,January,Badulla,Tomato,4,63.0,Recommended,April,3,192.03,140.0,52.03,37.2,100.0
1,January,Badulla,Brinjal,5,59.2,Moderate / Proceed with Caution,May,4,157.59,120.0,37.59,31.3,100.0
1,January,Badulla,Lime,6,53.3,Moderate / Proceed with Caution,May,4,270.51,200.0,70.51,35.3,100.0
1,January,Badulla,Beans,7,52.7,Moderate / Proceed with Caution,March,2,188.47,150.0,38.47,25.6,93.0
1,January,Badulla,Carrot,8,37.6,High Risk / Not Advisable,April,3,200.54,180.0,20.54,11.4,78.0
1,January,Badulla,Green Chilli,9,24.1,High Risk / Not Advisable,May,4,218.34,260.0,-41.66,-16.0,100.0
1,January,Nuwara Eliya,Pumpkin,1,95.0,Highly Recommended,May,4,145.22,70.0,75.22,107.5,100.0
1,January,Nuwara Eliya,Snake Gourd,2,78.9,Highly Recommended,April,3,147.35,95.0,52.35,55.1,100.0
1,January,Nuwara Eliya,Cabbage,3,70.3,Recommended,April,3,166.86,110.0,56.86,51.7,94.0
1,January,Nuwara Eliya,Tomato,4,54.4,Moderate / Proceed with Caution,April,3,192.03,140.0,52.03,37.2,100.0
1,January,Nuwara Eliya,Lime,5,53.3,Moderate / Proceed with Caution,May,4,270.51,200.0,70.51,35.3,100.0
1,January,Nuwara Eliya,Beans,6,52.7,Moderate / Proceed with Caution,March,2,188.47,150.0,38.47,25.6,93.0
1,January,Nuwara Eliya,Brinjal,7,51.1,Moderate / Proceed with Caution,May,4,157.59,120.0,37.59,31.3,100.0
1,January,Nuwara Eliya,Carrot,8,37.6,High Risk / Not Advisable,April,3,200.54,180.0,20.54,11.4,78.0
1,January,Nuwara Eliya,Green Chilli,9,24.1,High Risk / Not Advisable,May,4,218.34,260.0,-41.66,-16.0,100.0
1,January,Matale,Pumpkin,1,99.0,Highly Recommended,May,4,145.22,70.0,75.22,107.5,100.0
1,January,Matale,Snake Gourd,2,91.4,Highly Recommended,April,3,147.35,95.0,52.35,55.1,100.0
1,January,Matale,Cabbage,3,70.3,Recommended,April,3,166.86,110.0,56.86,51.7,94.0
1,January,Matale,Tomato,4,63.0,Recommended,April,3,192.03,140.0,52.03,37.2,100.0
1,January,Matale,Brinjal,5,59.2,Moderate / Proceed with Caution,May,4,157.59,120.0,37.59,31.3,100.0
1,January,Matale,Lime,6,53.3,Moderate / Proceed with Caution,May,4,270.51,200.0,70.51,35.3,100.0
1,January,Matale,Beans,7,52.7,Moderate / Proceed with Caution,March,2,188.47,150.0,38.47,25.6,93.0
1,January,Matale,Carrot,8,32.4,High Risk / Not Advisable,April,3,200.54,180.0,20.54,11.4,78.0
1,January,Matale,Green Chilli,9,27.9,High Risk / Not Advisable,May,4,218.34,260.0,-41.66,-16.0,100.0
1,January,Anuradhapura,Pumpkin,1,99.0,Highly Recommended,May,4,145.22,70.0,75.22,107.5,100.0
1,January,Anuradhapura,Snake Gourd,2,78.9,Highly Recommended,April,3,147.35,95.0,52.35,55.1,100.0
1,January,Anuradhapura,Tomato,3,63.0,Recommended,April,3,192.03,140.0,52.03,37.2,100.0
1,January,Anuradhapura,Lime,4,61.8,Recommended,May,4,270.51,200.0,70.51,35.3,100.0
1,January,Anuradhapura,Cabbage,5,60.7,Recommended,April,3,166.86,110.0,56.86,51.7,94.0
1,January,Anuradhapura,Brinjal,6,59.2,Moderate / Proceed with Caution,May,4,157.59,120.0,37.59,31.3,100.0
1,January,Anuradhapura,Beans,7,45.5,Moderate / Proceed with Caution,March,2,188.47,150.0,38.47,25.6,93.0
1,January,Anuradhapura,Carrot,8,32.4,High Risk / Not Advisable,April,3,200.54,180.0,20.54,11.4,78.0
1,January,Anuradhapura,Green Chilli,9,27.9,High Risk / Not Advisable,May,4,218.34,260.0,-41.66,-16.0,100.0
2,February,Badulla,Pumpkin,1,95.0,Highly Recommended,June,4,145.22,70.0,75.22,107.5,100.0
2,February,Badulla,Snake Gourd,2,78.9,Highly Recommended,May,3,147.35,95.0,52.35,55.1,100.0
2,February,Badulla,Cabbage,3,70.3,Recommended,May,3,166.86,110.0,56.86,51.7,94.0
2,February,Badulla,Tomato,4,63.0,Recommended,May,3,192.03,140.0,52.03,37.2,100.0
