date,year,month,crop_name,farm_price,retail_price_pettah,retail_price_dambulla,average_spread,spread_pct
2000-01-01,2000,1,Beans,50.64,64.7,65.25,14.34,28.31747962583012
2000-02-01,2000,2,Beans,47.56,62.8,64.52,16.1,33.851905273538115
2000-03-01,2000,3,Beans,55.79,72.08,73.53,17.02,30.507204683268174
2000-04-01,2000,4,Beans,55.54,72.53,71.72,16.58,29.852304911226295
2000-05-01,2000,5,Beans,46.64,59.6,64.71,15.51,33.25464568043379
2000-06-01,2000,6,Beans,53.84,69.66,74.2,18.09,33.59949182858129
2000-07-01,2000,7,Beans,42.95,53.38,53.71,10.6,24.679802840971263
2000-08-01,2000,8,Beans,46.73,65.21,59.48,15.61,33.40459361311018
2000-09-01,2000,9,Beans,47.85,64.9,63.68,16.44,34.35729496908053
2000-10-01,2000,10,Beans,44.2,54.79,60.06,13.22,29.909434594039375
2000-11-01,2000,11,Beans,51.53,66.44,67.0,15.19,29.477916790380764
2000-12-01,2000,12,Beans,45.46,60.89,64.4,17.19,37.813379205061146
2001-01-01,2001,1,Beans,58.04,70.39,72.81,13.56,23.363157541079357
2001-02-01,2001,2,Beans,55.2,69.92,76.99,18.25,33.06153430881466
2001-03-01,2001,3,Beans,56.36,77.03,76.13,20.22,35.87644450595368
2001-04-01,2001,4,Beans,58.46,72.71,82.88,19.33,33.06528726430505
2001-05-01,2001,5,Beans,53.66,68.43,73.84,17.48,32.57541450724094
2001-06-01,2001,6,Beans,55.65,77.84,76.97,21.76,39.10145714023874
2001-07-01,2001,7,Beans,58.58,73.25,76.99,16.54,28.234844255984537
2001-08-01,2001,8,Beans,55.64,74.15,73.93,18.4,33.069674569240526
2001-09-01,2001,9,Beans,48.03,64.79,60.28,14.51,30.210222339741115
2001-10-01,2001,10,Beans,51.34,64.22,73.61,17.57,34.222761545069055
2001-11-01,2001,11,Beans,47.57,63.41,68.56,18.42,38.72180214042014
2001-12-01,2001,12,Beans,54.05,66.99,76.73,17.81,32.95091035909277
2002-01-01,2002,1,Beans,62.01,79.95,88.9,22.42,36.1554004912103
2002-02-01,2002,2,Beans,57.23,77.13,82.22,22.44,39.21013592497655
2002-03-01,2002,3,Beans,58.92,81.57,75.63,19.68,33.40116530691563
2002-04-01,2002,4,Beans,65.98,82.71,83.01,16.88,25.583471380007
2002-05-01,2002,5,Beans,55.05,70.56,70.84,15.65,28.428649539237895
2002-06-01,2002,6,Beans,59.67,82.74,84.65,24.02,40.25466691022807
2002-07-01,2002,7,Beans,50.95,70.91,73.4,21.2,41.60933933397579
2002-08-01,2002,8,Beans,59.16,74.12,77.04,16.42,27.75519311157351
2002-09-01,2002,9,Beans,54.1,68.43,74.24,17.24,31.866854220232486
2002-10-01,2002,10,Beans,59.37,74.7,82.4,19.18,32.30582397536807
2002-11-01,2002,11,Beans,50.92,66.74,65.5,15.2,29.850687645939416
2002-12-01,2002,12,Beans,54.64,68.53,76.63,17.94,32.83302922212807
2003-01-01,2003,1,Beans,66.17,81.5,91.92,20.54,31.041210456082126
2003-02-01,2003,2,Beans,55.62,76.11,77.37,21.12,37.97188426486108
2003-03-01,2003,3,Beans,58.14,72.13,83.09,19.47,33.488074495915896
2003-04-01,2003,4,Beans,63.25,79.7,80.59,16.9,26.719325344940163
2003-05-01,2003,5,Beans,60.67,83.78,83.21,22.82,37.61325595309716
2003-06-01,2003,6,Beans,61.91,75.0,88.0,19.59,31.642656044813368
2003-07-01,2003,7,Beans,59.47,77.57,78.69,18.66,31.377112195876585
2003-08-01,2003,8,Beans,57.78,76.14,73.75,17.16,29.698806336437627
2003-09-01,2003,9,Beans,62.78,78.82,84.96,19.11,30.43958196944573
2003-10-01,2003,10,Beans,51.99,66.34,72.02,17.19,33.06398718217507
2003-11-01,2003,11,Beans,54.58,75.51,76.8,21.58,39.53821997394654
2003-12-01,2003,12,Beans,53.94,73.65,69.48,17.63,32.6844036255031
2004-01-01,2004,1,Beans,61.34,74.93,82.85,17.55,28.61097389798843
2004-02-01,2004,2,Beans,69.08,96.05,91.5,24.7,35.75559386856707
2004-03-01,2004,3,Beans,76.45,100.65,97.16,22.46,29.378640446513476
2004-04-01,2004,4,Beans,70.89,93.28,100.75,26.12,36.84576548770562
2004-05-01,2004,5,Beans,66.47,82.51,93.21,21.39,32.17988238320689
2004-06-01,2004,6,Beans,61.98,74.91,84.72,17.84,28.7834321015939
2004-07-01,2004,7,Beans,69.75,85.0,98.73,22.12,31.713216181768917
2004-08-01,2004,8,Beans,59.34,74.02,75.57,15.45,26.03635652787912
2004-09-01,2004,9,Beans,64.12,85.25,81.62,19.31,30.115361641669296
2004-10-01,2004,10,Beans,59.34,78.67,84.01,22.0,37.07442353484405
2004-11-01,2004,11,Beans,60.71,78.06,85.85,21.24,34.98594138372362
2004-12-01,2004,12,Beans,61.38,81.72,88.72,23.84,38.83994975570258
2005-01-01,2005,1,Beans,66.14,86.45,86.9,20.54,31.05529020972148
2005-02-01,2005,2,Beans,80.29,101.11,115.73,28.13,35.03545268968403
2005-03-01,2005,3,Beans,62.83,76.44,87.69,19.24,30.62226544283711
2005-04-01,2005,4,Beans,75.47,92.27,104.24,22.78,30.18413914914648
2005-05-01,2005,5,Beans,61.6,77.55,77.15,15.75,25.56814031146053
2005-06-01,2005,6,Beans,73.72,101.06,100.2,26.91,36.50293474913897
2005-07-01,2005,7,Beans,61.71,85.73,87.29,24.8,40.18791089303048
2005-08-01,2005,8,Beans,58.91,74.21,81.81,19.1,32.422284124454045
2005-09-01,2005,9,Beans,66.6,92.71,90.48,25.0,37.53748117495319
2005-10-01,2005,10,Beans,71.41,93.91,94.99,23.04,32.264343559244416
2005-11-01,2005,11,Beans,71.15,98.3,103.01,29.5,41.461642358900406
2005-12-01,2005,12,Beans,62.84,84.35,80.16,19.41,30.88792029293397
2006-01-01,2006,1,Beans,60.05,82.96,81.82,22.34,37.20226943835231
2006-02-01,2006,2,Beans,68.48,93.65,93.3,24.99,36.49235325298882
2006-03-01,2006,3,Beans,73.04,93.73,101.3,24.47,33.50214471228817
2006-04-01,2006,4,Beans,70.2,95.08,100.25,27.46,39.11675339493818
2006-05-01,2006,5,Beans,79.8,101.09,106.57,24.03,30.112744219618776
2006-06-01,2006,6,Beans,71.98,89.91,90.68,18.31,25.437586221747395
2006-07-01,2006,7,Beans,65.72,83.19,85.16,18.45,28.07360305294727
2006-08-01,2006,8,Beans,74.12,102.19,96.07,25.01,33.7425340764516
2006-09-01,2006,9,Beans,67.21,91.77,90.48,23.92,35.589889019656276
2006-10-01,2006,10,Beans,65.88,90.33,87.97,23.27,35.321743591767465
2006-11-01,2006,11,Beans,75.5,99.33,103.21,25.77,34.13240512264222
2006-12-01,2006,12,Beans,68.69,88.38,94.52,22.76,33.134323577924626
2007-01-01,2007,1,Beans,82.0,110.46,107.89,27.17,33.13410593401716
2007-02-01,2007,2,Beans,74.91,97.63,99.92,23.86,31.851512679865596
2007-03-01,2007,3,Beans,76.26,99.33,107.62,27.21,35.68051969509612
2007-04-01,2007,4,Beans,92.99,118.33,123.21,27.78,29.87414789316282
2007-05-01,2007,5,Beans,75.03,103.12,102.51,27.79,37.03846856128406
2007-06-01,2007,6,Beans,82.24,109.13,104.17,24.41,29.681384142285825
