date,year,month,temp_mean,temp_max,temp_min,rain_sum,rain_days,sunshine_mean_hours,radiation_mean,et0_mean,wind_speed_max
2010-01-01,2010,1,24.38219832735962,33.2,13.1,74.89629629629628,11.555555555555555,10.191066301606265,18.25299880525687,3.817479091995221,31.1
2010-02-01,2010,2,25.346428571428575,36.5,12.6,27.08888888888889,5.0,10.081776940035274,20.48521164021164,4.425886243386243,31.2
2010-03-01,2010,3,26.88088410991637,37.2,12.9,62.32962962962963,9.666666666666666,10.9520229390681,22.906750298685782,5.054336917562724,28.3
2010-04-01,2010,4,26.98037037037037,36.3,15.0,183.96666666666667,21.77777777777778,10.057895030864197,20.685123456790123,4.393654320987655,28.8
2010-05-01,2010,5,26.86762246117085,35.5,15.9,171.74074074074073,22.51851851851852,9.573050126111776,18.505292712066908,4.026881720430108,48.0
2010-06-01,2010,6,26.621975308641975,37.0,16.0,161.88888888888889,20.51851851851852,9.85410729766804,18.50595061728395,4.217641975308642,47.1
2010-07-01,2010,7,26.288530465949822,35.5,14.8,127.11111111111111,19.666666666666668,9.882708134209476,18.81377538829152,4.249342891278375,40.1
2010-08-01,2010,8,26.09295101553166,36.0,14.8,145.3,19.40740740740741,9.287111814682069,17.983154121863798,4.0579689366786145,40.0
2010-09-01,2010,9,25.68567901234568,35.3,14.6,185.2185185185185,21.96296296296296,8.915182475994513,18.153679012345677,3.9281604938271606,37.0
2010-10-01,2010,10,25.488291517323777,36.2,12.8,210.63703703703703,19.333333333333332,9.755867881322182,18.504074074074072,3.9231541218637993,37.9
2010-11-01,2010,11,24.464197530864197,32.2,13.7,375.0592592592592,26.703703703703702,8.210342170781892,14.95035802469136,3.0094691358024694,31.7
2010-12-01,2010,12,23.63237753882915,30.4,12.3,478.2407407407408,25.444444444444443,6.248732145227664,12.087502986857825,2.504826762246117,44.1
2011-01-01,2011,1,23.309318996415772,29.9,10.0,377.9555555555555,21.25925925925926,6.860116985264835,13.278458781362009,2.7479689366786144,39.8
2011-02-01,2011,2,24.098148148148148,31.7,13.1,281.75555555555553,14.185185185185183,8.1077059707525,16.28414021164021,3.3464021164021167,36.3
2011-03-01,2011,3,25.415890083632014,35.7,12.7,79.2925925925926,16.074074074074073,10.637956013540425,21.56808841099164,4.439450418160096,30.5
2011-04-01,2011,4,25.76320987654321,35.7,13.0,207.73703703703703,22.96296296296296,9.720265562414264,20.033617283950615,4.145567901234568,31.5
2011-05-01,2011,5,26.61373954599761,35.7,14.2,81.60740740740741,17.333333333333332,10.89341501061994,21.22517323775389,4.574217443249701,40.8
2011-06-01,2011,6,26.950493827160496,37.0,14.5,60.029629629629625,13.77777777777778,10.838705425240056,20.47843209876543,4.773728395061728,44.2
2011-07-01,2011,7,26.418040621266428,35.6,15.1,114.77407407407408,19.77777777777778,10.305884322315148,19.09958183990442,4.394587813620071,43.6
2011-08-01,2011,8,26.16320191158901,35.5,14.9,123.93333333333332,21.444444444444443,10.277780177220231,19.31792114695341,4.386236559139785,41.5
2011-09-01,2011,9,26.394567901234566,36.8,13.5,128.13333333333335,16.77777777777778,10.440950826474625,20.307703703703705,4.630888888888889,41.0
2011-10-01,2011,10,25.554599761051374,36.4,14.0,290.7444444444444,25.25925925925926,9.106757062259392,17.938697729988053,3.7755077658303464,29.1
2011-11-01,2011,11,24.60037037037037,30.9,13.2,227.7037037037037,23.185185185185187,8.755125891632373,15.819074074074075,3.190111111111111,38.0
2011-12-01,2011,12,24.174551971326164,30.6,12.7,238.3296296296296,19.0,8.318002937076862,15.13463560334528,3.1733094384707288,41.7
2012-01-01,2012,1,24.00310633213859,32.2,11.7,41.87407407407407,8.11111111111111,10.526879619673435,19.145698924731185,3.9631421744324977,32.9
2012-02-01,2012,2,24.737164750957856,33.1,11.5,88.37407407407407,11.62962962962963,9.96542747623102,19.20183908045977,4.065938697318008,34.4
2012-03-01,2012,3,26.114814814814817,35.8,12.7,62.56666666666667,11.037037037037036,11.041847268684457,23.043142174432496,4.872556750298686,25.6
2012-04-01,2012,4,26.094197530864196,35.0,14.2,151.7296296296296,22.814814814814813,9.937619732510289,19.906234567901233,4.172765432098766,34.8
2012-05-01,2012,5,27.31612903225806,37.4,13.0,38.32962962962962,9.703703703703704,10.995511419753086,22.113142174432497,5.193488649940263,46.5
2012-06-01,2012,6,26.930617283950617,37.3,15.5,72.88888888888889,15.48148148148148,10.494983017832649,19.584814814814816,4.750666666666667,44.5
